OID_,src_GEOID10,nbr_GEOID10,LENGTH,NODE_COUNT
44251,421014408,421014414,624.202078479234387,0
44252,421014408,421016002,255.637747371914713,0
44253,421014408,421016023,168.925046443799090,0
44254,421014408,42101606,390.425259274824271,0
44255,421014409,421014408,343.238351102515026,0
44256,421014409,421014410,314.755208341985735,0
44257,421014409,421014413,114.272545485090149,0
44258,421014409,421014414,19.164375493163597,0
44259,421014409,42101606,305.222936277512304,0
44260,421014410,421014409,314.755208341985735,0
44261,421014410,421014411,268.283631805913387,0
44262,421014410,421014412,264.794932751164936,0
44263,421014410,421014413,250.370715646749886,0
44264,421014410,42101606,125.273859358679772,0
44265,421014410,42101612,125.128271698183141,0
44266,421014410,42101616,0.000000000000000,1
44267,421014411,421014405,372.184565791728801,0
44268,421014411,421014410,268.283631805913387,0
44269,421014411,421014412,402.599889146381372,0
44270,421014411,421014417,0.000000000000000,1
44271,421014411,421014418,396.826491759133148,0
44272,421014411,421014419,93.765279263586692,0
44273,421014411,421015201,70.802495321693797,0
44274,421014411,42101612,0.000000000000000,1
44275,421014411,42101616,168.428787478708159,0
44276,421014411,42101618,421.817854336359858,0
44277,421014412,421014410,264.794932751164936,0
44278,421014412,421014411,402.599889146381372,0
44279,421014412,421014413,176.236918535362094,0
44280,421014412,421014416,0.000000000000000,1
44281,421014412,421014417,168.903907514718497,0
44282,421014412,421014418,0.000000000000000,1
44283,421014413,421014406,151.308471405021521,0
44284,421014413,421014409,114.272545485090149,0
44285,421014413,421014410,250.370715646749886,0
44286,421014413,421014412,176.236918535362094,0
44287,421014413,421014414,169.833820345855315,0
44288,421014413,421014415,85.687658253211367,0
44289,421014413,421014416,400.939651986217712,0
44290,421014413,421014417,0.000000000000000,1
44291,421014414,421014408,624.202078479234387,0
44292,421014414,421014409,19.164375493163597,0
44293,421014414,421014413,169.833820345855315,0
44294,421014414,421014415,506.524526332449796,0
44295,421014414,421016002,85.671235233518644,0
44296,421014414,421016003,0.000000000000000,1
44297,421014415,421014403,328.461504424318093,0
44298,421014415,421014406,496.102719521403230,0
44299,421014415,421014413,85.687658253211367,0
44300,421014415,421014414,506.524526332449796,0
44301,421014415,421016002,0.000000000000000,1
44302,421014415,421016003,85.040798496548675,0
44303,421014416,421014406,159.615986695701224,0
44304,421014416,421014407,102.712495408530316,0
44305,421014416,421014412,0.000000000000000,1
44306,421014416,421014413,400.939651986217712,0
44307,421014416,421014417,334.267063419039573,0
44308,421014417,421014407,168.388593688084825,0
44309,421014417,421014411,0.000000000000000,1
44310,421014417,421014412,168.903907514718497,0
44311,421014417,421014413,0.000000000000000,1
44312,421014417,421014416,334.267063419039573,0
44313,421014417,421014418,328.778362432095491,0
44314,421014418,421014407,491.782287218643148,0
44315,421014418,421014411,396.826491759133148,0
44316,421014418,421014412,0.000000000000000,1
44317,421014418,421014417,328.778362432095491,0
44318,421014418,421014419,192.346758625442931,0
44319,421014419,42101403,0.000000000000000,1
44320,421014419,42101404,172.393242856570595,0
44321,421014419,421014401,534.671453600295877,0
44322,421014419,421014405,134.216320766596027,0
44323,421014419,421014407,249.726543596960767,0
44324,421014419,421014411,93.765279263586692,0
44325,421014419,421014418,192.346758625442931,0
44326,421014501,421014503,727.396389836556523,0
44327,421014501,421014512,1486.085204133620664,0
44328,421014501,421014523,1131.319347001217466,0
44329,421014502,421012314,500.510024623779714,0
44330,421014502,421012315,362.115678691156404,0
44331,421014502,421014504,449.391671402687393,0
44332,421014502,421014512,657.949969179233335,0
44333,421014502,421014520,65.086985946255794,0
44334,421014503,421014501,727.396389836556523,0
44335,421014503,421014504,648.761354485279071,0
44336,421014503,421014512,258.238822452507179,0
44337,421014503,421014523,521.674577858041175,0
44338,421014504,421014502,449.391671402687393,0
44339,421014504,421014503,648.761354485279071,0
44340,421014504,421014512,41.456976980729891,0
44341,421014504,421014520,683.711076805555194,0
44342,421014504,421014523,265.563265730077546,0
44343,421014504,421014525,0.000000000000000,1
44344,421014505,421014506,2357.752009215524140,0
44345,421014505,421014518,515.514757786469318,0
44346,421014505,421014520,764.752736188533731,0
44347,421014505,421014521,253.663223034101520,0
44348,421014505,421014524,825.644864456122150,0
44349,421014505,421014525,1641.726112834103787,0
44350,421014506,421014505,2357.752009215524140,0
44351,421014506,421014515,1414.418149759711696,0
44352,421014506,421014522,310.961553000155050,0
44353,421014506,421014524,547.521274603815073,0
44354,421014507,421012503,106.984608628022372,0
44355,421014507,421012508,193.777240867248508,0
44356,421014507,421014508,0.000000000000000,1
44357,421014507,421014514,250.520056760153921,0
44358,421014507,421014515,252.049118616133853,0
44359,421014507,421014522,301.385615455013465,0
44360,421014508,421014507,0.000000000000000,1
44361,421014508,421014509,0.000000000000000,1
44362,421014508,421014511,475.593795526964641,0
44363,421014508,421014513,618.325348875115765,0
44364,421014508,421014514,591.794931265002674,0
44365,421014508,421014522,237.139806590522880,0
44366,421014508,421014524,236.773105296906067,0
44367,421014509,421012520,306.313172968668482,0
44368,421014509,421012521,168.424681102707154,0
44369,421014509,421013318,0.000000000000000,1
44370,421014509,421013320,0.000000000000000,1
44371,421014509,421013321,16.523458599420579,0
44372,421014509,421013324,234.880758810830145,0
44373,421014509,421014508,0.000000000000000,1
44374,421014509,421014510,182.143227404795226,0
44375,421014509,421014511,171.070513519908985,0
44376,421014509,421014514,251.500230798326726,0
44377,421014509,421014516,129.624596900028706,0
44378,421014510,421013316,0.000000000000000,1
44379,421014510,421013320,478.146848132928028,0
44380,421014510,421013324,0.000000000000000,1
44381,421014510,421014509,182.143227404795226,0
44382,421014510,421014516,476.262733044632455,0
44383,421014510,421014519,195.985385505211099,0
44384,421014511,421014508,475.593795526964641,0
44385,421014511,421014509,171.070513519908985,0
44386,421014511,421014513,107.691415190876185,0
44387,421014511,421014514,0.000000000000000,1
44388,421014511,421014516,473.931148730555606,0
44389,421014511,421014517,135.794879951764074,0
44390,421014511,421014519,108.370503210150872,0
44391,421014512,421012315,182.711930397687638,0
44392,421014512,421014101,670.805977102014708,0
44393,421014512,421014102,344.415292431475734,0
44394,421014512,421014107,1067.858843481456461,0
44395,421014512,421014501,1486.085204133620664,0
44396,421014512,421014502,657.949969179233335,0
44397,421014512,421014503,258.238822452507179,0
44398,421014512,421014504,41.456976980729891,0
44399,421014512,421016201,160.522661092271846,0
44400,421014513,421014508,618.325348875115765,0
44401,421014513,421014511,107.691415190876185,0
44402,421014513,421014517,179.432301471863695,0
44403,421014513,421014521,695.996640612850229,0
44404,421014513,421014524,237.712262514435935,0
44405,421014514,421012502,89.315935109268054,0
44406,421014514,421012508,62.125017876160705,0
44407,421014514,421012521,214.103551822448992,0
44408,421014514,421012524,230.102838672319763,0
44409,421014514,421014507,250.520056760153921,0
44410,421014514,421014508,591.794931265002674,0
44411,421014514,421014509,251.500230798326726,0
44412,421014514,421014511,0.000000000000000,1
44413,421014514,421014522,0.000000000000000,1
44414,421014515,421012501,1455.214533204508371,0
44415,421014515,421012503,152.963638037562021,0
44416,421014515,421014506,1414.418149759711696,0
44417,421014515,421014507,252.049118616133853,0
44418,421014515,421014522,281.349156925725140,0
44419,421014516,421014509,129.624596900028706,0
44420,421014516,421014510,476.262733044632455,0
44421,421014516,421014511,473.931148730555606,0
44422,421014516,421014519,129.154480194090240,0
44423,421014517,421013316,107.550049488858775,0
44424,421014517,421014511,135.794879951764074,0
44425,421014517,421014513,179.432301471863695,0
44426,421014517,421014518,516.154449881627897,0
44427,421014517,421014519,458.066252381458810,0
44428,421014517,421014521,358.099850823122608,0
44429,421014518,421012301,247.383941857414129,0
44430,421014518,421012314,716.932119598105260,0
44431,421014518,421012323,327.210397690121852,0
44432,421014518,421013307,238.908201514107361,0
44433,421014518,421013314,864.020814835151100,0
44434,421014518,421013316,10.152238050903946,0
44435,421014518,421014505,515.514757786469318,0
44436,421014518,421014517,516.154449881627897,0
44437,421014518,421014520,74.211197476967001,0
44438,421014518,421014521,747.539258340986066,0
44439,421014519,421013316,233.563212301820300,0
44440,421014519,421013320,0.000000000000000,1
44441,421014519,421014510,195.985385505211099,0
44442,421014519,421014511,108.370503210150872,0
44443,421014519,421014516,129.154480194090240,0
44444,421014519,421014517,458.066252381458810,0
44445,421014520,421012314,960.592969337148816,0
44446,421014520,421014502,65.086985946255794,0
44447,421014520,421014504,683.711076805555194,0
44448,421014520,421014505,764.752736188533731,0
44449,421014520,421014518,74.211197476967001,0
44450,421014520,421014523,0.000000000000000,1
44451,421014520,421014525,909.924102376255632,0
44452,421014521,421014505,253.663223034101520,0
44453,421014521,421014513,695.996640612850229,0
44454,421014521,421014517,358.099850823122608,0
44455,421014521,421014518,747.539258340986066,0
44456,421014521,421014524,250.650508449403162,0
44457,421014522,421014506,310.961553000155050,0
44458,421014522,421014507,301.385615455013465,0
44459,421014522,421014508,237.139806590522880,0
44460,421014522,421014514,0.000000000000000,1
44461,421014522,421014515,281.349156925725140,0
44462,421014522,421014524,508.250099052519431,0
44463,421014523,421014501,1131.319347001217466,0
44464,421014523,421014503,521.674577858041175,0
44465,421014523,421014504,265.563265730077546,0
44466,421014523,421014520,0.000000000000000,1
44467,421014523,421014525,1571.265465330066490,0
44468,421014524,421014505,825.644864456122150,0
44469,421014524,421014506,547.521274603815073,0
44470,421014524,421014508,236.773105296906067,0
44471,421014524,421014513,237.712262514435935,0
44472,421014524,421014521,250.650508449403162,0
44473,421014524,421014522,508.250099052519431,0
44474,421014525,421014504,0.000000000000000,1
44475,421014525,421014505,1641.726112834103787,0
44476,421014525,421014520,909.924102376255632,0
44477,421014525,421014523,1571.265465330066490,0
44478,421014601,421014602,88.315427332844280,0
44479,421014601,421014607,85.301987182188014,0
44480,421014601,421014609,125.878536475459015,0
44481,421014601,421014617,182.539060026231340,0
44482,421014601,421014618,415.527225604689249,0
44483,421014601,421014619,344.721270290901714,0
44484,421014602,421014601,88.315427332844280,0
44485,421014602,421014603,343.987316619628928,0
44486,421014602,421014607,253.769864041309916,0
44487,421014602,421014609,339.209433536312190,0
44488,421014602,421016009,341.832200365933545,0
44489,421014603,421014602,343.987316619628928,0
44490,421014603,421014604,258.487733278083510,0
44491,421014603,421014609,85.904192646601203,0
44492,421014603,421014610,342.215156146477909,0
44493,421014603,421014611,0.000000000000000,1
44494,421014603,421016009,170.472528573975382,0
44495,421014603,421016010,0.000000000000000,1
44496,421014604,421014603,258.487733278083510,0
44497,421014604,421014605,174.415313203066347,0
44498,421014604,421014610,0.000000000000000,1
44499,421014604,421014611,325.655347385301695,0
44500,421014604,421014612,84.329423044935737,0
44501,421014604,421016009,0.000000000000000,1
44502,421014604,421016010,327.501927067336169,0
44503,421014604,421016011,0.000000000000000,1
44504,421014605,421014604,174.415313203066347,0
44505,421014605,421014606,174.921728716263374,0
44506,421014605,421014612,365.189288606142100,0
44507,421014605,421014614,0.000000000000000,1
44508,421014605,421016010,0.000000000000000,1
44509,421014605,421016011,364.148006203225691,0
44510,421014605,421016020,0.000000000000000,1
44511,421014606,42101312,173.426543781105494,0
44512,421014606,42101313,0.000000000000000,1
44513,421014606,421014605,174.921728716263374,0
44514,421014606,421014612,0.000000000000000,1
44515,421014606,421014614,173.536612992262263,0
44516,421014606,421014615,167.527888989202410,0
44517,421014606,421016011,0.000000000000000,1
44518,421014606,421016020,174.136577086334029,0
44519,421014606,421016021,167.111165580575687,0
44520,421014607,421014601,85.301987182188014,0
44521,421014607,421014602,253.769864041309916,0
44522,421014607,421014619,290.204672666169245,0
44523,421014607,421014622,168.442821760914654,0
44524,421014607,421016008,118.744671220354604,0
44525,421014607,421016009,170.590381144886777,0
44526,421014608,421012715,416.873101683739151,0
